1 100 -5 6 1000
-1000.0 0.56
-998.0 0.52
-996.0 -0.99
-993.99 0.32
-991.99 0.73
-989.99 -0.93
-987.99 0.04
-985.99 0.89
-983.98 -0.79
-981.98 -0.23
-979.98 0.98
-977.98 -0.59
-975.98 -0.49
-973.97 1.0
-971.97 -0.35
-969.97 -0.71
-967.97 0.94
-965.97 -0.07
-963.96 -0.87
-961.96 0.81
-959.96 0.2
-957.96 -0.97
-955.96 0.61
-953.95 0.46
-951.95 -1.0
-949.95 0.37
-947.95 0.69
-945.95 -0.95
-943.94 0.11
-941.94 0.86
-939.94 -0.82
-937.94 -0.17
-935.94 0.97
-933.93 -0.64
-931.93 -0.43
-929.93 1.0
-927.93 -0.4
-925.93 -0.67
-923.92 0.96
-921.92 -0.14
-919.92 -0.84
-917.92 0.84
-915.92 0.15
-913.91 -0.96
-911.91 0.66
-909.91 0.41
-907.91 -1.0
-905.91 0.43
-903.9 0.64
-901.9 -0.97
-899.9 0.17
-897.9 0.83
-895.9 -0.85
-893.89 -0.11
-891.89 0.95
-889.89 -0.68
-887.89 -0.38
-885.89 1.0
-883.88 -0.46
-881.88 -0.62
-879.88 0.97
-877.88 -0.19
-875.88 -0.81
-873.87 0.87
-871.87 0.08
-869.87 -0.94
-867.87 0.7
-865.87 0.35
-863.86 -1.0
-861.86 0.49
-859.86 0.59
-857.86 -0.98
-855.86 0.22
-853.85 0.79
-851.85 -0.89
-849.85 -0.05
-847.85 0.93
-845.85 -0.72
-843.84 -0.32
-841.84 0.99
-839.84 -0.51
-837.84 -0.57
-835.84 0.98
-833.83 -0.26
-831.83 -0.77
-829.83 0.9
-827.83 0.02
-825.83 -0.92
-823.82 0.75
-821.82 0.29
-819.82 -0.99
-817.82 0.54
-815.82 0.55
-813.81 -0.99
-811.81 0.29
-809.81 0.75
-807.81 -0.91
-805.81 0.01
-803.8 0.9
-801.8 -0.77
-799.8 -0.26
-797.8 0.99
-795.8 -0.56
-793.79 -0.51
-791.79 0.99
-789.79 -0.32
-787.79 -0.73
-785.79 0.92
-783.78 -0.05
-781.78 -0.89
-779.78 0.79
-777.78 0.23
-775.78 -0.98
-773.77 0.59
-771.77 0.49
-769.77 -1.0
-767.77 0.34
-765.77 0.71
-763.76 -0.94
-761.76 0.08
-759.76 0.87
-757.76 -0.8
-755.76 -0.21
-753.75 0.97
-751.75 -0.61
-749.75 -0.46
-747.75 1.0
-745.75 -0.37
-743.74 -0.68
-741.74 0.95
-739.74 -0.1
-737.74 -0.86
-735.74 0.82
-733.73 0.17
-731.73 -0.97
-729.73 0.64
-727.73 0.44
-725.73 -1.0
-723.72 0.41
-721.72 0.66
-719.72 -0.96
-717.72 0.13
-715.72 0.85
-713.71 -0.84
-711.71 -0.14
-709.71 0.96
-707.71 -0.66
-705.71 -0.41
-703.7 1.0
-701.7 -0.43
-699.7 -0.64
-697.7 0.96
-695.7 -0.16
