2 100 -5 17 50
-3.14 -3.14 -3.0
-3.01 -3.14 -2.98
-2.88 -3.14 -2.92
-2.76 -3.14 -2.84
-2.63 -3.14 -2.71
-2.5 -3.14 -2.55
-2.37 -3.14 -2.36
-2.24 -3.14 -2.14
-2.11 -3.14 -1.9
-1.99 -3.14 -1.65
-1.86 -3.14 -1.37
-1.73 -3.14 -1.08
-1.6 -3.14 -0.78
-1.47 -3.14 -0.47
-1.35 -3.14 -0.19
-1.22 -3.14 0.11
-1.09 -3.14 0.41
-0.96 -3.14 0.69
-0.83 -3.14 0.95
-0.7 -3.14 1.19
-0.58 -3.14 1.39
-0.45 -3.14 1.58
-0.32 -3.14 1.74
-0.19 -3.14 1.87
-0.06 -3.14 1.97
0.06 -3.14 2.03
0.19 -3.14 2.06
0.32 -3.14 2.06
0.45 -3.14 2.02
0.58 -3.14 1.96
0.7 -3.14 1.87
0.83 -3.14 1.75
0.96 -3.14 1.61
1.09 -3.14 1.44
1.22 -3.14 1.26
1.35 -3.14 1.06
1.47 -3.14 0.87
1.6 -3.14 0.66
1.73 -3.14 0.44
1.86 -3.14 0.23
1.99 -3.14 0.02
2.11 -3.14 -0.16
2.24 -3.14 -0.34
2.37 -3.14 -0.51
2.5 -3.14 -0.65
2.63 -3.14 -0.78
2.76 -3.14 -0.87
2.88 -3.14 -0.94
3.01 -3.14 -0.98
3.14 -3.14 -1.0
-3.14 -3.01 -3.0
-3.01 -3.01 -2.98
-2.88 -3.01 -2.92
-2.76 -3.01 -2.84
-2.63 -3.01 -2.71
-2.5 -3.01 -2.55
-2.37 -3.01 -2.36
-2.24 -3.01 -2.14
-2.11 -3.01 -1.9
-1.99 -3.01 -1.65
-1.86 -3.01 -1.37
-1.73 -3.01 -1.08
-1.6 -3.01 -0.78
-1.47 -3.01 -0.47
-1.35 -3.01 -0.19
-1.22 -3.01 0.11
-1.09 -3.01 0.41
-0.96 -3.01 0.69
-0.83 -3.01 0.95
-0.7 -3.01 1.19
-0.58 -3.01 1.39
-0.45 -3.01 1.58
-0.32 -3.01 1.74
-0.19 -3.01 1.87
-0.06 -3.01 1.97
0.06 -3.01 2.03
0.19 -3.01 2.06
0.32 -3.01 2.06
0.45 -3.01 2.02
0.58 -3.01 1.96
0.7 -3.01 1.87
0.83 -3.01 1.75
0.96 -3.01 1.61
1.09 -3.01 1.44
1.22 -3.01 1.26
1.35 -3.01 1.06
1.47 -3.01 0.87
1.6 -3.01 0.66
1.73 -3.01 0.44
1.86 -3.01 0.23
1.99 -3.01 0.02
2.11 -3.01 -0.16
2.24 -3.01 -0.34
2.37 -3.01 -0.51
2.5 -3.01 -0.65
2.63 -3.01 -0.78
2.76 -3.01 -0.87
2.88 -3.01 -0.94
3.01 -3.01 -0.98
3.14 -3.01 -1.0
-3.14 -2.88 -3.0
-3.01 -2.88 -2.98
-2.88 -2.88 -2.92
-2.76 -2.88 -2.84
-2.63 -2.88 -2.71
-2.5 -2.88 -2.55
-2.37 -2.88 -2.36
-2.24 -2.88 -2.14
-2.11 -2.88 -1.9
-1.99 -2.88 -1.65
-1.86 -2.88 -1.37
-1.73 -2.88 -1.08
-1.6 -2.88 -0.78
-1.47 -2.88 -0.47
-1.35 -2.88 -0.19
-1.22 -2.88 0.11
-1.09 -2.88 0.41
-0.96 -2.88 0.69
-0.83 -2.88 0.95
-0.7 -2.88 1.19
-0.58 -2.88 1.39
-0.45 -2.88 1.58
-0.32 -2.88 1.74
-0.19 -2.88 1.87
-0.06 -2.88 1.97
0.06 -2.88 2.03
0.19 -2.88 2.06
0.32 -2.88 2.06
0.45 -2.88 2.02
0.58 -2.88 1.96
0.7 -2.88 1.87
0.83 -2.88 1.75
0.96 -2.88 1.61
1.09 -2.88 1.44
