20 38 29 74 71 81 39 34 68 61 21 80 60 55 86 26 4 66 83 88 76; 38 29 74 71 81 39 34 68 61 21 80 60 55 86 26 4 66 83 88 76
5 41 9 91 24 61; 41 9 91 24 61
9 59 46 81 85 78 24 61 26 66; 59 46 81 85 78 24 61 26 66
17 93 28 9 72 14 33 38 35 92 4 48 53 97 43 69 47 1; 93 28 9 72 14 33 38 35 92 4 48 53 97 43 69 47 1
17 66 73 93 62 9 14 46 13 75 86 45 30 26 41 87 52 69; 66 73 93 62 9 14 46 13 75 86 45 30 26 41 87 52 69
9 25 50 90 30 70 45 97 54 76; 25 50 90 30 70 45 97 54 76
5 77 12 66 42 63; 77 12 66 42 63
13 25 12 20 46 10 91 31 39 94 47 78 48 72; 25 12 20 46 10 91 31 39 94 47 78 48 72
20 63 59 55 67 91 90 20 16 64 48 14 58 66 84 36 88 72 70 31 40; 63 59 55 67 91 90 20 16 64 48 14 58 66 84 36 88 72 70 31 40
15 30 28 3 86 70 34 42 60 41 79 49 74 46 67 51; 30 28 3 86 70 34 42 60 41 79 49 74 46 67 51
15 80 27 67 10 3 95 52 4 46 1 43 25 64 9 5; 80 27 67 10 3 95 52 4 46 1 43 25 64 9 5
7 43 8 26 89 98 9 82; 43 8 26 89 98 9 82
8 3 90 96 39 11 78 77 64; 3 90 96 39 11 78 77 64
15 79 31 25 58 33 8 6 14 27 19 26 59 61 82 45; 79 31 25 58 33 8 6 14 27 19 26 59 61 82 45
9 8 63 16 96 57 92 26 34 17; 8 63 16 96 57 92 26 34 17
18 29 1 52 60 41 13 4 62 59 34 68 31 90 21 76 43 33 75; 29 1 52 60 41 13 4 62 59 34 68 31 90 21 76 43 33 75
20 20 13 9 55 98 12 81 62 76 52 51 38 56 10 1 25 92 39 48 19; 20 13 9 55 98 12 81 62 76 52 51 38 56 10 1 25 92 39 48 19
7 12 4 33 14 96 95 15; 12 4 33 14 96 95 15
8 97 13 23 22 55 96 84 60; 97 13 23 22 55 96 84 60
18 91 82 81 18 85 4 39 22 76 64 48 90 88 75 97 77 35 49; 91 82 81 18 85 4 39 22 76 64 48 90 88 75 97 77 35 49
11 48 71 32 24 60 61 9 87 59 11 97; 48 71 32 24 60 61 9 87 59 11 97
6 63 7 49 12 89 90; 63 7 49 12 89 90
7 18 49 26 17 47 82 28; 18 49 26 17 47 82 28
