70 87 65 ; 70 87 65
84 -37 77 68 67 74 13 -60 75 ; 84 0 77 68 67 74 13 0 75
-59 -44 28 89 -18 99 ; 0 0 28 89 0 99
4 33 -67 29 20 72 -74 -55 ; 4 33 0 29 20 72 0 0
50 100 86 20 8 -5 ; 50 100 86 20 8 0
-60 -87 -75 ; 0 0 0
25 -53 90 12 -48 51 -20 16 ; 25 0 90 12 0 51 0 16
37 -93 -76 -60 66 -63 -76 -76 -38 ; 37 0 0 0 66 0 0 0 0
-39 29 -41 73 -38 ; 0 29 0 73 0
71 -34 -18 -16 ; 71 0 0 0
32 44 -89 -99 33 -6 -91 -70 ; 32 44 0 0 33 0 0 0
20 3 -10 ; 20 3 0
54 18 -18 ; 54 18 0
-36 91 ; 0 91
-8 18 34 8 -100 50 -67 ; 0 18 34 8 0 50 0
58 78 -75 ; 58 78 0
4 68 -84 -38 ; 4 68 0 0
-4 28 88 -94 ; 0 28 88 0
-95 18 19 -19 -98 55 31 -44 -19 ; 0 18 19 0 0 55 31 0 0
61 35 46 95 13 41 -58 38 -64 ; 61 35 46 95 13 41 0 38 0
27 -23 -75 97 -34 69 52 -44 71 11 ; 27 0 0 97 0 69 52 0 71 11
-84 -73 ; 0 0
-26 -75 88 41 ; 0 0 88 41
-84 96 -86 30 ; 0 96 0 30
-4 37 -13 -46 -37 88 41 45 83 83 ; 0 37 0 0 0 88 41 45 83 83
-6 -68 7 -23 ; 0 0 7 0
84 67 87 -61 10 -5 44 ; 84 67 87 0 10 0 44
79 95 ; 79 95
-18 -84 96 94 -96 ; 0 0 96 94 0
-47 -21 -38 -88 21 86 ; 0 0 0 0 21 86
37 12 97 -35 ; 37 12 97 0
-100 -80 34 -5 26 27 -92 ; 0 0 34 0 26 27 0
49 28 84 -8 84 48 ; 49 28 84 0 84 48
46 9 88 -44 52 -81 97 -22 -2 ; 46 9 88 0 52 0 97 0 0
-73 91 65 -64 40 -12 9 ; 0 91 65 0 40 0 9
-20 -32 89 76 -23 -81 -83 ; 0 0 89 76 0 0 0
51 74 -60 14 ; 51 74 0 14
56 99 ; 56 99
93 6 -55 -8 ; 93 6 0 0
67 -72 40 -81 ; 67 0 40 0
11 -50 ; 11 0
32 -69 91 -33 -86 -10 48 64 4 ; 32 0 91 0 0 0 48 64 4
67 75 23 -53 -87 -80 41 ; 67 75 23 0 0 0 41
46 -90 -14 43 -39 54 ; 46 0 0 43 0 54
-31 -44 44 -50 -18 -2 -71 62 -59 ; 0 0 44 0 0 0 0 62 0
-13 67 -47 -65 26 ; 0 67 0 0 26
75 -68 30 -45 -81 -2 ; 75 0 30 0 0 0
7 26 ; 7 26
-26 -48 3 -30 93 -1 -43 14 ; 0 0 3 0 93 0 0 14
91 51 -1 -46 -71 99 84 78 ; 91 51 0 0 0 99 84 78
50 -4 43 -12 16 ; 50 0 43 0 16
90 77 -38 -61 ; 90 77 0 0
3 59 ; 3 59
53 71 65 -74 21 63 -93 ; 53 71 65 0 21 63 0
-49 66 27 46 -34 -4 91 -77 ; 0 66 27 46 0 0 91 0
81 8 3 35 38 1 34 -10 58 ; 81 8 3 35 38 1 34 0 58
54 -50 -36 33 13 98 95 -25 93 -95 ; 54 0 0 33 13 98 95 0 93 0
-47 -84 -23 -78 ; 0 0 0 0
76 -91 ; 76 0
78 90 -66 ; 78 90 0
48 64 -66 -1 79 21 -83 10 ; 48 64 0 0 79 21 0 10
-58 65 -22 -4 -45 -50 57 54 22 ; 0 65 0 0 0 0 57 54 22
90 63 ; 90 63
32 -37 48 50 90 29 -88 -79 35 56 ; 32 0 48 50 90 29 0 0 35 56
31 -84 -48 -50 -94 88 39 23 ; 31 0 0 0 0 88 39 23
-94 93 ; 0 93
48 25 -73 -55 53 -73 86 ; 48 25 0 0 53 0 86
21 -84 -29 -35 73 20 61 67 67 ; 21 0 0 0 73 20 61 67 67
-36 35 8 77 -32 17 -69 52 -64 62 ; 0 35 8 77 0 17 0 52 0 62
-29 81 100 68 ; 0 81 100 68
-51 -43 6 10 ; 0 0 6 10
-66 -49 ; 0 0
-51 58 1 -92 -1 80 41 -5 ; 0 58 1 0 0 80 41 0
76 39 -58 43 -68 38 -4 -43 21 ; 76 39 0 43 0 38 0 0 21
18 9 -12 -20 -51 91 -91 -30 -14 ; 18 9 0 0 0 91 0 0 0
64 8 33 -91 -9 -93 -89 68 100 74 ; 64 8 33 0 0 0 0 68 100 74
39 -35 74 -92 -51 ; 39 0 74 0 0
88 -50 -8 16 37 74 3 -48 82 ; 88 0 0 16 37 74 3 0 82
-91 1 97 15 50 -71 ; 0 1 97 15 50 0
-66 80 32 -11 -75 -30 46 80 71 -93 ; 0 80 32 0 0 0 46 80 71 0
-96 -91 -35 -48 -18 -57 39 ; 0 0 0 0 0 0 39
85 -83 -79 -1 -14 -100 -7 91 -4 92 ; 85 0 0 0 0 0 0 91 0 92
8 -44 97 -79 46 59 99 -80 94 ; 8 0 97 0 46 59 99 0 94
-61 -35 -10 34 61 82 57 -2 ; 0 0 0 34 61 82 57 0
44 -96 86 ; 44 0 86
-59 42 52 ; 0 42 52
18 84 44 -74 -45 69 -12 84 -6 ; 18 84 44 0 0 69 0 84 0
-8 -77 -48 -8 -23 78 ; 0 0 0 0 0 78
-50 -99 ; 0 0
61 -83 65 -77 -50 ; 61 0 65 0 0
54 46 -41 23 -12 ; 54 46 0 23 0
-78 42 11 39 -76 65 -47 66 -25 ; 0 42 11 39 0 65 0 66 0
21 51 84 -93 -93 -22 -94 ; 21 51 84 0 0 0 0
26 -43 20 ; 26 0 20
-77 -99 -83 -43 -42 39 -18 -21 -5 ; 0 0 0 0 0 39 0 0 0
-67 66 -83 -48 12 ; 0 66 0 0 12
7 0 60 22 35 ; 7 0 60 22 35
-79 -49 78 66 24 76 16 -81 -100 ; 0 0 78 66 24 76 16 0 0
12 34 -67 ; 12 34 0
-90 59 -85 -2 12 ; 0 59 0 0 12
