3414 ; 1
959 ; 0
4192 ; 1
119 ; 0
3919 ; 1
4208 ; 1
1397 ; 
4055 ; 1
3206 ; 1
2348 ; 1
2458 ; 1
1136 ; 
125 ; 0
1469 ; 
589 ; 0
3847 ; 1
1461 ; 
2607 ; 1
2392 ; 1
1121 ; 
543 ; 0
1083 ; 
3083 ; 1
4800 ; 1
1243 ; 
2761 ; 1
3217 ; 1
2268 ; 1
4436 ; 1
328 ; 0
539 ; 0
4850 ; 1
4956 ; 1
3472 ; 1
1990 ;
2214 ; 1
849 ; 0
2539 ; 1
1382 ;
1673 ;
3464 ; 1
4112 ; 1
4138 ; 1
4790 ; 1
3130 ; 1
1658 ;
2736 ; 1
3184 ; 1
3233 ; 1
910 ; 0
962 ; 0
2530 ; 1
4715 ; 1
1308 ;
4703 ; 1
4558 ; 1
3731 ; 1
221 ; 0
3752 ; 1
253 ; 0
3105 ; 1
3834 ; 1
662 ; 0
2358 ; 1
1972 ;
3807 ; 1
2863 ; 1
4040 ; 1
858 ; 0
3768 ; 1
4003 ; 1
656 ; 0
1944 ;
1604 ;
524 ; 0
4564 ; 1
1036 ;
1521 ;
3414 ; 1
3792 ; 1
258 ; 0
2857 ; 1
4642 ; 1
1845 ;
3689 ; 1
732 ; 0
1117 ;
353 ; 0
4998 ; 1
1266 ;
4141 ; 1
4562 ; 1
541 ; 0
661 ; 0
1679 ;
4375 ; 1
4609 ; 1
853 ; 0
375 ; 0
1256 ;
