34 15 71 82 ; 15
7 25 73 28 ; 7
82 19 52 40 ; 19
98 87 63 85 ; 63
15 78 18 75 ; 15
26 78 95 98 ; 26
65 76 42 7 ; 7
21 82 98 31 ; 21
21 98 5 35 ; 5
74 48 27 67 ; 27
84 46 77 5 ; 5
21 6 54 62 ; 6
80 54 64 7 ; 7
50 2 64 56 ; 2
39 59 26 31 ; 26
13 5 8 78 ; 5
18 83 30 32 ; 18
2 90 5 70 ; 2
60 88 79 5 ; 5
31 10 75 70 ; 10
19 61 15 48 ; 15
47 76 9 13 ; 9
78 6 95 70 ; 6
35 30 13 32 ; 13
49 2 22 50 ; 2
17 15 49 26 ; 15
53 61 94 70 ; 53
48 64 10 43 ; 10
10 45 92 22 ; 10
76 16 15 23 ; 15
40 26 97 55 ; 26
57 13 62 74 ; 13
29 26 85 8 ; 8
64 55 69 14 ; 14
82 40 10 62 ; 10
44 76 46 35 ; 35
38 94 1 24 ; 1
26 69 64 33 ; 26
85 33 45 7 ; 7
76 8 88 90 ; 8
78 51 16 34 ; 16
42 86 28 61 ; 28
6 45 40 5 ; 5
62 8 54 56 ; 8
81 69 77 13 ; 13
32 31 85 59 ; 31
40 7 80 10 ; 7
30 6 18 81 ; 6
75 52 71 72 ; 52
54 93 19 47 ; 19
