1 100 -5 5 101 
0	2
0.1	2.01
0.2	2.04
0.3	2.09
0.4	2.16
0.5	2.25
0.6	2.36
0.7	2.49
0.8	2.64
0.9	2.81
1	3
1.1	3.21
1.2	3.44
1.3	3.69
1.4	3.96
1.5	4.25
1.6	4.56
1.7	4.89
1.8	5.24
1.9	5.61
2	6
2.1	6.41
2.2	6.84
2.3	7.29
2.4	7.76
2.5	8.25
2.6	8.76
2.7	9.29
2.8	9.84
2.9	10.41
3	11
3.1	11.61
3.2	12.24
3.3	12.89
3.4	13.56
3.5	14.25
3.6	14.96
3.7	15.69
3.8	16.44
3.9	17.21
4	18
4.1	18.81
4.2	19.64
4.3	20.49
4.4	21.36
4.5	22.25
4.6	23.16
4.7	24.09
4.8	25.04
4.9	26.01
5	27
5.1	28.01
5.2	29.04
5.3	30.09
5.4	31.16
5.5	32.25
5.6	33.36
5.7	34.49
5.8	35.64
5.9	36.81
6	38
6.1	39.21
6.2	40.44
6.3	41.69
6.4	42.96
6.5	44.25
6.6	45.56
6.7	46.89
6.8	48.24
6.9	49.61
7	51
7.1	52.41
7.2	53.84
7.3	55.29
7.4	56.76
7.5	58.25
7.6	59.76
7.7	61.29
7.8	62.84
7.9	64.41
8	66
8.1	67.61
8.2	69.24
8.3	70.89
8.4	72.56
8.5	74.25
8.6	75.96
8.7	77.69
8.8	79.44
8.9	81.21
9	83
9.1	84.81
9.2	86.64
9.3	88.49
9.4	90.36
9.5	92.25
9.6	94.16
9.7	96.09
9.8	98.04
9.9	100.01
10	102
